[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ')' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php on line 50, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ')' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php on line 50, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ')' in /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/application/controllers/roster.php on line 50, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   1. {main}() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:0, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
[Sat Nov 02 17:32:16 2013] [error] [client 127.0.0.1] PHP   2. require_once() /Users/ben/Dropbox/Documents/WoW/uGuilds/app.uguilds.net/html/index.php:219, referer: http://mercenaries-inc.uguilds.test/roster?codekitCB=405106323.098789
